Strike,Tenor,Alpha,Beta,Nu,Rho,Strike_0,Nu_0,FDM_vol,Hagan_vol
0,1.5,0.06,0.2,4,0.1,1.0,3.2659863237109046,0.06363694723695232,0.1388968216307402
0,8,0.08,0.1,1.5,0,1.0,0.5303300858899106,0.08945770661175446,0.09513824
0.75,27,0.02,0.2,3,-0.05,1.0810602649256935,0.5773502691896257,0.027189390837442564,0.048814698786727714
1.25,8,0.04,0.3,0.1,-0.35,1.151909910168909,0.035355339059327376,0.037293156590348514,0.03729625268422007
0,21,0.01,0.4,5,-0.05,1.0,1.091089451179962,0.009588013404952696,0.03074406689409595
0,8,0.07,0.35,0.1,-0.1,1.0,0.035355339059327376,0.0701134379760243,0.07009363728536931
0.25,0.5,0.04,0.5,3,-0.25,1.0070961268417447,4.242640687119285,0.048631301933610954,0.06686257825616941
-1.5,16,0.001,0.25,0.1,-0.1,0.9940179640539353,0.025,0.0010062582347923506,0.0010141768407509856
1.5,30,0.001,0.05,5,-0.1,1.0082496809809152,0.9128709291752769,0.0019370875771873286,0.008150670555829262
1.5,4,0.08,0.25,4,-0.15,1.2712491503214047,2.0,0.11828364079856762,0.40237148821149554
-0.75,14,0.08,0.15,3,-0.15,0.7989160215310966,0.8017837257372732,0.10321319451757192,0.22320115441257427
0.75,1,0.06,0.25,0.1,-0.35,1.046027859908717,0.1,0.0582925979055773,0.0582908861219514
-1.75,5,0.001,0.45,2.5,-0.2,0.9960945273125318,1.118033988749895,0.0020489846165499003,0.003191641516264568
-1.25,5,0.02,0.5,4.5,-0.2,0.9456320874878473,2.0124611797498106,0.034454429793013885,0.12810453001743025
-1.75,5,0.05,0.15,1.5,0.1,0.8222950982629756,0.6708203932499369,0.08237188078580351,0.09245744827251753
0.25,14,0.05,0.35,3.5,0.25,1.0478817204198922,0.9354143466934853,0.05467510991513491,0.11392219871101594
-1.75,18,0.03,0.2,3,-0.15,0.8003239977837513,0.7071067811865476,0.059318784454199025,0.12522262524706956
0.5,5,0.02,0.35,0.5,-0.25,1.0226125536284048,0.22360679774997896,0.019809193686202032,0.019790828709207255
-0.75,7,0.06,0.4,5,0.05,0.8877555912100644,1.889822365046136,0.06866765035656684,0.3403727506343936
0.5,24,0.05,0.3,2,0.1,1.1302902827674572,0.4082482904638631,0.06008588001491704,0.07546187621052221
0.75,21,0.01,0.25,4,0,1.0349667677131864,0.8728715609439696,0.014364916762983642,0.038236856365074234
-1.25,7,0.05,0.4,4.5,0.15,0.8475889775816061,1.7008401285415224,0.07486695883548046,0.2952772835797319
-0.75,8,0.09,0.45,3.5,-0.25,0.8261996472945559,1.2374368670764582,0.11218045689922068,0.2974547601442176
-1.75,24,0.09,0.25,0.1,0.3,0.4622778004299307,0.020412414523193152,0.11758167323783947,0.11767603024597054
-0.5,3,0.01,0.2,4.5,0.35,0.9913771379429498,2.598076211353316,0.012570512568260998,0.02944083072316954
0.5,1.5,0.05,0.15,5,0.05,1.0310921927909442,4.08248290463863,0.05685475979588078,0.23609266165389578
1.75,7,0.05,0.25,2.5,0.1,1.2604934102143777,0.944911182523068,0.09120578975357096,0.15105515530369767
-0.25,8,0.07,0.001,2,0.05,0.9517075614966561,0.7071067811865475,0.08249206685917974,0.09818050486844018
-0.75,1.5,0.05,0.25,0.1,0.2,0.9551107919882659,0.08164965809277261,0.05060829785979444,0.05058329145627383
-1,21,0.08,0.45,3.5,-0.05,0.6930826272931547,0.7637626158259734,0.10389066706708006,0.306302836829059
-1,21,0.05,0.05,0.5,-0.2,0.7952261139156768,0.1091089451179962,0.060750459070392546,0.060933581751078714
-1.25,9,0.02,0.001,2,-0.35,0.9277434863285529,0.6666666666666666,0.035224803282513276,0.04431087786646452
-2,24,0.08,0.45,4,-0.2,0.45665060650185024,0.8164965809277261,0.13839505491473103,0.5828861771522684
-1,4,0.04,0.4,0.1,-0.25,0.9231163463866358,0.05,0.04157552568349028,0.04155171707529817
-0.5,10,0.06,0.45,1.5,-0.05,0.9094926796630575,0.4743416490252569,0.07365588373161013,0.07983211964002589
1.25,21,0.06,0.001,4.5,-0.25,1.4101459040999893,0.9819805060619657,0.06646657914845092,0.2986046267822885
1.75,6,0.08,0.4,0.1,0.15,1.4090681001276633,0.040824829046386304,0.07361523697565947,0.07363001745315083
0.5,0.5,0.04,0.3,1,-0.3,1.0142426086996437,1.414213562373095,0.041300399024994494,0.041193038322526625
1.25,1.5,0.06,0.05,5,-0.1,1.0962068093135349,4.08248290463863,0.08768299309901466,0.42926017195557636
1.5,1,0.09,0.4,3.5,-0.4,1.1445367843513146,3.5,0.1347425323334474,0.29391458804343346
-1.75,12,0.01,0.2,4.5,0.2,0.9411791468758278,1.299038105676658,0.019813082203701426,0.06946204760057569
-1.25,0.5,0.08,0.35,3.5,0.1,0.9317314234233945,4.949747468305833,0.13975647765774804,0.31338773905128414
1.25,14,0.04,0.001,4,0.35,1.2057271987255849,1.0690449676496976,0.0630371938610895,0.19279251278312312
-1.5,2,0.04,0.5,1.5,-0.1,0.91864748673689,1.0606601717798212,0.06360932163051883,0.07218434473024817
1.5,3,0.001,0.25,0.5,-0.1,1.0026014541360886,0.2886751345948129,0.001062050348316077,0.0010705931471716862
1.75,9,0.04,0.2,2,0,1.2336780599567432,0.6666666666666666,0.06786171104139484,0.09111730434288996
-1.5,1.5,0.01,0.2,1,0.1,0.9817965482793497,0.8164965809277261,0.012755447391495636,0.013132767969702454
-1,10,0.09,0.35,2.5,0.25,0.7523113665871758,0.7905694150420948,0.12442735739710852,0.19238592081673392
-0.75,1.5,0.05,0.001,4,-0.4,0.9551107919882659,3.2659863237109046,0.07232478877966726,0.19130072233467138
-1.75,7,0.001,0.15,2,0.25,0.9953806374319322,0.7559289460184544,0.0016827159663615563,0.002091597952565944
1.5,5,0.02,0.15,4.5,0.15,1.0693832060523671,2.0124611797498106,0.03734669556906125,0.1410980426230353
0.75,14,0.001,0.5,3.5,-0.05,1.0028101842258599,0.9354143466934853,0.001546987978666383,0.003066376063111132
2,4,0.03,0.25,2.5,0.25,1.1274968515793757,1.25,0.06403864713959521,0.10146360207001179
-0.25,1,0.04,0.05,4.5,0.35,0.9900498337491681,4.5,0.04234954801048672,0.09599073935803883
-2,2,0.02,0.15,1,0.1,0.9450017095003759,0.7071067811865475,0.028130679290883517,0.029238166430329532
-1.5,9,0.04,0.15,0.1,-0.3,0.835270211411272,0.03333333333333333,0.04421482802639595,0.044198193216111056
-1.5,1,0.001,0.2,1,-0.4,0.9985011244377109,1.0,0.0014448459881947343,0.0015164651200443508
2,21,0.06,0.35,3.5,0.35,1.7330954435500556,0.7637626158259734,0.11243568103034993,0.30316848817766423
-1,7,0.02,0.45,1.5,-0.25,0.9484606033396165,0.5669467095138409,0.028935828555827905,0.03220439641858032
0.75,30,0.07,0.4,2.5,0.15,1.3331630378607067,0.45643546458763845,0.08532070527775652,0.1435619655478623
0.75,12,0.01,0.4,1,-0.25,1.0263212040327203,0.2886751345948129,0.010618540771330578,0.010652633683790961
-1.25,1.5,0.03,0.1,3.5,0.15,0.955110791988266,2.8577380332470415,0.053074456045365835,0.11390744478443944
-1.25,30,0.09,0.15,0.5,-0.35,0.5399990616052881,0.09128709291752768,0.129822256644296,0.13141825299874763
-1,7,0.06,0.3,0.1,-0.3,0.8532138336589609,0.03779644730092272,0.06443520249809939,0.06443272627427046
-0.25,18,0.01,0.5,4,0.2,0.9894494499346467,0.9428090415820635,0.011813379241091307,0.023861304876332447
-1.25,18,0.03,0.2,4,0.25,0.8529118945326061,0.9428090415820635,0.04591235597722782,0.1337269481440446
-1.5,7,0.02,0.05,0.5,0.2,0.9236957473426847,0.1889822365046136,0.02145222973955712,0.02144016482115569
-2,4,0.05,0.05,5,-0.3,0.8187307530779818,2.5,0.09856537177916407,0.522981042237189
